,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
51,0.0,0.0,0.0,0.0,0.0,0.0,0.2690,0.8981,0.3875,0.7469,0.4678,-0.3628,-0.3028
52,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.8908,0.3861,0.7473,0.4664,-0.3622,-0.3046
53,0.0,0.0,0.0,0.0,0.0,0.0,0.2673,0.8894,0.3842,0.7473,0.4665,-0.3615,-0.3052
54,0.0,0.0,0.0,0.0,0.0,0.0,0.2643,0.8875,0.3842,0.7472,0.4672,-0.3608,-0.3054
55,0.0,0.0,0.0,0.0,0.0,0.0,0.2592,0.8814,0.3803,0.7474,0.4667,-0.3602,-0.3063
56,0.0,0.0,0.0,0.0,0.0,0.0,0.2529,0.8811,0.3785,0.7481,0.4658,-0.3594,-0.3069
57,0.0,0.0,0.0,0.0,0.0,0.0,0.2481,0.8856,0.3790,0.7486,0.4653,-0.3587,-0.3074
58,0.0,0.0,0.0,0.0,0.0,0.0,0.2418,0.8888,0.3766,0.7490,0.4652,-0.3578,-0.3075
59,0.0,0.0,0.0,0.0,0.0,0.0,0.2384,0.8894,0.3738,0.7489,0.4661,-0.3573,-0.3070
60,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.8825,0.3690,0.7491,0.4659,-0.3569,-0.3071
61,0.0,0.0,0.0,0.0,0.0,0.0,0.2642,0.8465,0.3537,0.7497,0.4649,-0.3570,-0.3071
62,0.0,0.0,0.0,0.0,0.0,0.0,0.2379,0.8886,0.3644,0.7486,0.4663,-0.3589,-0.3055
63,0.0,0.0,0.0,0.0,0.0,0.0,0.2504,0.8974,0.3706,0.7485,0.4668,-0.3593,-0.3046
64,0.0,0.0,0.0,0.0,0.0,0.0,0.2658,0.9240,0.3878,0.7478,0.4669,-0.3608,-0.3044
65,0.0,0.0,0.0,0.0,0.0,0.0,0.2568,0.8981,0.3758,0.7486,0.4651,-0.3606,-0.3055
66,0.0,0.0,0.0,0.0,0.0,0.0,0.2698,0.9083,0.3853,0.7480,0.4650,-0.3620,-0.3055
67,0.0,0.0,0.0,0.0,0.0,0.0,0.2699,0.8952,0.3838,0.7483,0.4647,-0.3614,-0.3057
68,0.0,0.0,0.0,0.0,0.0,0.0,0.2717,0.8907,0.3870,0.7481,0.4646,-0.3620,-0.3056
69,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.8913,0.3809,0.7485,0.4647,-0.3614,-0.3054
70,0.0,0.0,0.0,0.0,0.0,0.0,0.2659,0.8925,0.3762,0.7484,0.4653,-0.3613,-0.3049
71,0.0,0.0,0.0,0.0,0.0,0.0,0.2595,0.8913,0.3663,0.7487,0.4654,-0.3607,-0.3046
72,0.0,0.0,0.0,0.0,0.0,0.0,0.2546,0.8916,0.3611,0.7489,0.4656,-0.3603,-0.3042
73,0.0,0.0,0.0,0.0,0.0,0.0,0.2532,0.8908,0.3531,0.7486,0.4668,-0.3602,-0.3032
74,0.0,0.0,0.0,0.0,0.0,0.0,0.2553,0.8951,0.3513,0.7482,0.4682,-0.3604,-0.3019
75,0.0,0.0,0.0,0.0,0.0,0.0,0.2559,0.8990,0.3508,0.7478,0.4693,-0.3607,-0.3006
76,0.0,0.0,0.0,0.0,0.0,0.0,0.2532,0.9088,0.3528,0.7476,0.4696,-0.3614,-0.2999
77,0.0,0.0,0.0,0.0,0.0,0.0,0.2526,0.9234,0.3586,0.7479,0.4689,-0.3617,-0.2998
78,0.0,0.0,0.0,0.0,0.0,0.0,0.2487,0.9255,0.3586,0.7479,0.4691,-0.3615,-0.2996
79,0.0,0.0,0.0,0.0,0.0,0.0,0.2476,0.9182,0.3566,0.7480,0.4691,-0.3613,-0.2998
80,0.0,0.0,0.0,0.0,0.0,0.0,0.2485,0.9153,0.3575,0.7479,0.4696,-0.3610,-0.2997
81,0.0,0.0,0.0,0.0,0.0,0.0,0.2470,0.9143,0.3599,0.7476,0.4706,-0.3607,-0.2995
82,0.0,0.0,0.0,0.0,0.0,0.0,0.2511,0.9058,0.3641,0.7475,0.4708,-0.3602,-0.2997
83,0.0,0.0,0.0,0.0,0.0,0.0,0.2408,0.9052,0.3575,0.7476,0.4713,-0.3593,-0.2998
84,0.0,0.0,0.0,0.0,0.0,0.0,0.2326,0.9075,0.3551,0.7471,0.4722,-0.3590,-0.3000
85,0.0,0.0,0.0,0.0,0.0,0.0,0.2398,0.9037,0.3617,0.7466,0.4730,-0.3588,-0.3001
86,0.0,0.0,0.0,0.0,0.0,0.0,0.2393,0.9018,0.3603,0.7465,0.4733,-0.3584,-0.3005
87,0.0,0.0,0.0,0.0,0.0,0.0,0.2386,0.8965,0.3574,0.7462,0.4738,-0.3581,-0.3009
88,0.0,0.0,0.0,0.0,0.0,0.0,0.2377,0.8965,0.3588,0.7461,0.4741,-0.3578,-0.3010
89,0.0,0.0,0.0,0.0,0.0,0.0,0.2391,0.8970,0.3574,0.7457,0.4749,-0.3578,-0.3005
90,0.0,0.0,0.0,0.0,0.0,0.0,0.2421,0.8983,0.3598,0.7455,0.4757,-0.3578,-0.2999
91,0.0,0.0,0.0,0.0,0.0,0.0,0.2427,0.9022,0.3621,0.7452,0.4765,-0.3579,-0.2993
92,0.0,0.0,0.0,0.0,0.0,0.0,0.2409,0.9071,0.3650,0.7451,0.4768,-0.3580,-0.2988
93,0.0,0.0,0.0,0.0,0.0,0.0,0.2408,0.9056,0.3636,0.7454,0.4765,-0.3579,-0.2988
94,0.0,0.0,0.0,0.0,0.0,0.0,0.2624,0.8690,0.3506,0.7461,0.4755,-0.3576,-0.2990
95,0.0,0.0,0.0,0.0,0.0,0.0,0.2577,0.8761,0.3469,0.7458,0.4756,-0.3591,-0.2977
96,0.0,0.0,0.0,0.0,0.0,0.0,0.2375,0.9102,0.3575,0.7458,0.4753,-0.3598,-0.2973
97,0.0,0.0,0.0,0.0,0.0,0.0,0.2745,0.9367,0.3756,0.7453,0.4748,-0.3615,-0.2975
98,0.0,0.0,0.0,0.0,0.0,0.0,0.2596,0.9122,0.3735,0.7464,0.4734,-0.3605,-0.2980
99,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.9193,0.3745,0.7460,0.4731,-0.3620,-0.2979
100,0.0,0.0,0.0,0.0,0.0,0.0,0.2652,0.9192,0.3835,0.7465,0.4730,-0.3610,-0.2977
101,0.0,0.0,0.0,0.0,0.0,0.0,0.2603,0.9001,0.3706,0.7462,0.4736,-0.3611,-0.2974
102,0.0,0.0,0.0,0.0,0.0,0.0,0.2564,0.9011,0.3758,0.7467,0.4736,-0.3599,-0.2975
103,0.0,0.0,0.0,0.0,0.0,0.0,0.2489,0.8956,0.3635,0.7464,0.4746,-0.3594,-0.2973
104,0.0,0.0,0.0,0.0,0.0,0.0,0.2458,0.8909,0.3583,0.7468,0.4745,-0.3586,-0.2976
105,0.0,0.0,0.0,0.0,0.0,0.0,0.2422,0.8852,0.3545,0.7469,0.4742,-0.3586,-0.2978
106,0.0,0.0,0.0,0.0,0.0,0.0,0.2439,0.8910,0.3564,0.7470,0.4742,-0.3585,-0.2977
107,0.0,0.0,0.0,0.0,0.0,0.0,0.2416,0.8988,0.3588,0.7468,0.4747,-0.3588,-0.2971
108,0.0,0.0,0.0,0.0,0.0,0.0,0.2395,0.9086,0.3631,0.7468,0.4746,-0.3590,-0.2970
109,0.0,0.0,0.0,0.0,0.0,0.0,0.2415,0.9124,0.3665,0.7471,0.4737,-0.3592,-0.2974
110,0.0,0.0,0.0,0.0,0.0,0.0,0.2419,0.9090,0.3669,0.7471,0.4734,-0.3593,-0.2977
111,0.0,0.0,0.0,0.0,0.0,0.0,0.2433,0.9070,0.3678,0.7471,0.4732,-0.3594,-0.2979
112,0.0,0.0,0.0,0.0,0.0,0.0,0.2452,0.9030,0.3683,0.7474,0.4727,-0.3592,-0.2983
113,0.0,0.0,0.0,0.0,0.0,0.0,0.2461,0.8996,0.3664,0.7475,0.4722,-0.3591,-0.2988
114,0.0,0.0,0.0,0.0,0.0,0.0,0.2446,0.8991,0.3668,0.7474,0.4725,-0.3590,-0.2987
115,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.8982,0.3668,0.7475,0.4725,-0.3589,-0.2987
116,0.0,0.0,0.0,0.0,0.0,0.0,0.2411,0.8973,0.3649,0.7479,0.4715,-0.3590,-0.2992
117,0.0,0.0,0.0,0.0,0.0,0.0,0.2417,0.9021,0.3678,0.7473,0.4725,-0.3592,-0.2987
118,0.0,0.0,0.0,0.0,0.0,0.0,0.2472,0.8883,0.3663,0.7474,0.4728,-0.3591,-0.2984
119,0.0,0.0,0.0,0.0,0.0,0.0,0.2464,0.8932,0.3677,0.7475,0.4724,-0.3594,-0.2982
120,0.0,0.0,0.0,0.0,0.0,0.0,0.2495,0.8994,0.3706,0.7470,0.4735,-0.3597,-0.2972
121,0.0,0.0,0.0,0.0,0.0,0.0,0.2538,0.8983,0.3729,0.7467,0.4741,-0.3602,-0.2965
122,0.0,0.0,0.0,0.0,0.0,0.0,0.2567,0.8972,0.3725,0.7473,0.4729,-0.3603,-0.2968
123,0.0,0.0,0.0,0.0,0.0,0.0,0.2596,0.8961,0.3758,0.7476,0.4724,-0.3606,-0.2965
124,0.0,0.0,0.0,0.0,0.0,0.0,0.2617,0.8989,0.3777,0.7477,0.4727,-0.3606,-0.2957
125,0.0,0.0,0.0,0.0,0.0,0.0,0.2618,0.9019,0.3763,0.7481,0.4726,-0.3605,-0.2952
126,0.0,0.0,0.0,0.0,0.0,0.0,0.2669,0.8926,0.3654,0.7487,0.4717,-0.3600,-0.2955
127,0.0,0.0,0.0,0.0,0.0,0.0,0.2859,0.8362,0.3438,0.7495,0.4709,-0.3601,-0.2946
128,0.0,0.0,0.0,0.0,0.0,0.0,0.2518,0.9120,0.3698,0.7482,0.4729,-0.3621,-0.2923
129,0.0,0.0,0.0,0.0,0.0,0.0,0.2657,0.9016,0.3532,0.7484,0.4733,-0.3620,-0.2913
130,0.0,0.0,0.0,0.0,0.0,0.0,0.2811,0.9290,0.3854,0.7479,0.4729,-0.3637,-0.2911
131,0.0,0.0,0.0,0.0,0.0,0.0,0.2692,0.8882,0.3625,0.7490,0.4717,-0.3629,-0.2911
132,0.0,0.0,0.0,0.0,0.0,0.0,0.2763,0.9150,0.3853,0.7483,0.4722,-0.3645,-0.2902
133,0.0,0.0,0.0,0.0,0.0,0.0,0.2705,0.8978,0.3711,0.7492,0.4716,-0.3634,-0.2901
134,0.0,0.0,0.0,0.0,0.0,0.0,0.2690,0.8963,0.3720,0.7490,0.4723,-0.3635,-0.2895
135,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.8907,0.3602,0.7489,0.4733,-0.3629,-0.2886
136,0.0,0.0,0.0,0.0,0.0,0.0,0.2722,0.8880,0.3663,0.7486,0.4740,-0.3633,-0.2878
137,0.0,0.0,0.0,0.0,0.0,0.0,0.2775,0.8879,0.3672,0.7489,0.4741,-0.3632,-0.2871
138,0.0,0.0,0.0,0.0,0.0,0.0,0.2756,0.8879,0.3658,0.7489,0.4746,-0.3635,-0.2861
139,0.0,0.0,0.0,0.0,0.0,0.0,0.2791,0.8921,0.3734,0.7496,0.4733,-0.3636,-0.2861
140,0.0,0.0,0.0,0.0,0.0,0.0,0.2788,0.8994,0.3767,0.7502,0.4725,-0.3636,-0.2859
