Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
05:05:34:43.090,61,0.1040358245,0.1666467041,0.0000000000,0.1788163930,0.0000000000,0.0000000000,0.0000000000,0.1039862782,0.1635000259,0.2234630287,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154822106,0.0160200112,0.0000000000,0.0143500427,0.0155822663,0.0257589240,0.0449217074,0.0027492433,0.0000000000,0.0039501279,0.0106852520,0.0000000000,0.0000000000,0.0179605912,0.0201173443,0.0428323261,0.0363921300,0.0229553077,0.0095249638,0.0447338670,0.0135786505,0.0419993997,0.0485223196,0.0347717591,0.0329798460,0.0028860227,0.0021516620,0.0000000000,0.0000000000,0.0323052146,0.0181477703,0.0180209558,0.0378755443,0.0028532478,0.0088782134,0.0415986665,0.0322456658,0.0000003827,0.0000000000,0.0000000000,0.0000000000,-0.1231460571,0.0851403624,-0.0278176144,-0.1233621910,0.0851392969,-0.0224994179
05:05:34:44.092,61,0.1045969129,0.1666794419,0.0000000000,0.1768651754,0.0000000000,0.0000000000,0.0000000000,0.1045521945,0.1635613590,0.2213336527,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156198526,0.0160225015,0.0000000000,0.0145005928,0.0156169338,0.0265530702,0.0523002855,0.0029911848,0.0000000000,0.0038813623,0.0100443773,0.0000000000,0.0000000000,0.0178425517,0.0200347062,0.0432784110,0.0368506089,0.0234004054,0.0096722394,0.0455140732,0.0141159184,0.0448709428,0.0514848456,0.0349241309,0.0331413113,0.0028625401,0.0020889326,0.0000000000,0.0000000000,0.0315951109,0.0181419794,0.0180066861,0.0458245799,0.0021764780,0.0062414333,0.0422411039,0.0325822271,0.0000003023,0.0000000000,0.0000000000,0.0000000000,-0.1219664514,0.0851325989,-0.0275907516,-0.1221917719,0.0851315930,-0.0222727619
05:05:34:45.093,61,0.1053009704,0.1671198756,0.0000000000,0.1775312871,0.0000000000,0.0000000000,0.0000000000,0.1052614078,0.1639902890,0.2220032364,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156094646,0.0159533564,0.0000000000,0.0146370791,0.0156598501,0.0280786641,0.0581556261,0.0031877728,0.0000000000,0.0035223570,0.0085530570,0.0000000000,0.0000000000,0.0176125206,0.0198283531,0.0433954187,0.0370368958,0.0238750577,0.0097456975,0.0473395847,0.0148272058,0.0464388914,0.0530828163,0.0348299369,0.0331045389,0.0028911347,0.0020721518,0.0000000000,0.0000000000,0.0286027528,0.0178006645,0.0176573694,0.0516139157,0.0015589250,0.0049104211,0.0444464423,0.0331470780,0.0000002463,0.0000000000,0.0000000000,0.0000000000,-0.1223299801,0.0853642076,-0.0277006626,-0.1225866228,0.0853631720,-0.0223744716
05:05:34:46.095,61,0.1069765463,0.1692310125,0.0000000000,0.1788711697,0.0000000000,0.0000000000,0.0000000000,0.1069567204,0.1660662144,0.2233941853,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154146384,0.0158627164,0.0000000000,0.0146131460,0.0155346422,0.0288902838,0.0608328953,0.0033112881,0.0000000000,0.0035972211,0.0081140399,0.0000000000,0.0000000000,0.0173643660,0.0195956677,0.0431509465,0.0368528850,0.0242820624,0.0097425617,0.0494834855,0.0158699546,0.0487698875,0.0555682592,0.0345774405,0.0329257138,0.0029505494,0.0020910574,0.0000000000,0.0000000000,0.0266636200,0.0174646880,0.0173130278,0.0544918180,0.0009643365,0.0038832207,0.0469648205,0.0338402689,0.0000000971,0.0000000000,0.0000000000,0.0000000000,-0.1230653077,0.0864515305,-0.0280319862,-0.1233678833,0.0864505097,-0.0226461384
05:05:34:47.097,61,0.1083448827,0.1695474684,0.0000000000,0.1786617786,0.0000000000,0.0000000000,0.0000000000,0.1083408520,0.1663847268,0.2231214643,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0151368240,0.0156934448,0.0000000000,0.0144002261,0.0152062122,0.0294801369,0.0625548437,0.0032746822,0.0000000000,0.0037188979,0.0079564508,0.0000000000,0.0000000000,0.0170425326,0.0192806236,0.0425315797,0.0363411643,0.0246700291,0.0096431440,0.0553630516,0.0193101596,0.0515434109,0.0585011281,0.0340709686,0.0325263515,0.0030479822,0.0021566728,0.0000000000,0.0000000000,0.0255587026,0.0171858296,0.0170242731,0.0564016588,0.0004742251,0.0031374439,0.0486620776,0.0345702171,0.0000001513,0.0000000000,0.0000000000,0.0000000000,-0.1229091138,0.0866093785,-0.0280295685,-0.1232390180,0.0866083726,-0.0226386171
05:05:34:48.098,61,0.1097701266,0.1694435775,0.0000000000,0.1789786369,0.0000000000,0.0000000000,0.0000000000,0.1097798944,0.1662797630,0.2233892381,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0148032270,0.0155435530,0.0000000000,0.0141673405,0.0148926862,0.0301878862,0.0646356121,0.0030949442,0.0000000000,0.0039488706,0.0081692301,0.0000000000,0.0000000000,0.0166973304,0.0189523548,0.0419047102,0.0358430855,0.0249237511,0.0095065413,0.0583678521,0.0211657714,0.0534283407,0.0604337603,0.0335518233,0.0321417451,0.0031455806,0.0022334585,0.0000000000,0.0000000000,0.0248810630,0.0170017779,0.0168281700,0.0578423925,0.0000865601,0.0026032235,0.0498996340,0.0353109986,0.0000002490,0.0000000000,0.0000000000,0.0000000000,-0.1230590194,0.0865606517,-0.0280499086,-0.1234300584,0.0865596309,-0.0226703472
05:05:34:49.099,61,0.1113983467,0.1689824164,0.0000000000,0.1783458441,0.0000000000,0.0000000000,0.0000000000,0.1114170402,0.1658325344,0.2226800025,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144803878,0.0154299336,0.0000000000,0.0139839798,0.0146423178,0.0308253858,0.0660389066,0.0029780760,0.0000000000,0.0043214690,0.0085165510,0.0000000000,0.0000000000,0.0163899828,0.0186604280,0.0412687734,0.0353097804,0.0251700748,0.0094006034,0.0600538924,0.0223516505,0.0546599850,0.0616967976,0.0330912657,0.0318017006,0.0032344449,0.0022999607,0.0000000000,0.0000000000,0.0242764615,0.0167030431,0.0165205058,0.0588226654,0.0000000000,0.0022644103,0.0508359447,0.0359430835,0.0000003537,0.0000000000,0.0000000000,0.0000000000,-0.1226740330,0.0863187909,-0.0279334448,-0.1230555549,0.0863178298,-0.0225707684
05:05:34:50.101,61,0.1124372259,0.1689410210,0.0000000000,0.1782201082,0.0000000000,0.0000000000,0.0000000000,0.1124598905,0.1657941937,0.2225195169,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0142744137,0.0153244445,0.0000000000,0.0139132543,0.0145139787,0.0314051062,0.0670647919,0.0028238564,0.0000000000,0.0045771175,0.0088194422,0.0000000000,0.0000000000,0.0161320325,0.0184243135,0.0406954139,0.0348651968,0.0254587363,0.0093742665,0.0610029027,0.0231030975,0.0554899387,0.0625294149,0.0327675641,0.0315892249,0.0032966663,0.0023452560,0.0000000000,0.0000000000,0.0235268623,0.0163691062,0.0161788464,0.0595788918,0.0000000000,0.0020473290,0.0515164621,0.0364398472,0.0000004558,0.0000000000,0.0000000000,0.0000000000,-0.1225858480,0.0862962008,-0.0279125348,-0.1229806170,0.0862952694,-0.0225537196
05:05:34:51.103,61,0.1128398255,0.1675868332,0.0000000000,0.1774897277,0.0000000000,0.0000000000,0.0000000000,0.1128646508,0.1644617021,0.2217378467,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141778355,0.0153143955,0.0000000000,0.0140031977,0.0145759350,0.0320119299,0.0678746402,0.0028025273,0.0000000000,0.0047396473,0.0089981481,0.0000000000,0.0000000000,0.0159950480,0.0183067042,0.0404458046,0.0346815735,0.0255700592,0.0094888592,0.0609009527,0.0231800210,0.0559200309,0.0629615188,0.0327391960,0.0316169560,0.0032517058,0.0022858360,0.0000000000,0.0000000000,0.0215296187,0.0159454104,0.0157491844,0.0603014939,0.0000000000,0.0016797869,0.0517592393,0.0366198123,0.0000004522,0.0000000000,0.0000000000,0.0000000000,-0.1221753359,0.0856004208,-0.0277122371,-0.1225568429,0.0855994299,-0.0223947577
05:05:34:52.105,61,0.1127329171,0.1638032347,0.0000000000,0.1747627407,0.0000000000,0.0000000000,0.0000000000,0.1127591133,0.1607465744,0.2188577056,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141685326,0.0153997382,0.0000000000,0.0141358888,0.0147031285,0.0326870680,0.0685881376,0.0028097858,0.0000000000,0.0045349179,0.0088826222,0.0000000000,0.0000000000,0.0158744175,0.0182076320,0.0404576287,0.0347210281,0.0254693441,0.0096412497,0.0591892675,0.0228927955,0.0559733100,0.0630027354,0.0328460410,0.0317445695,0.0031331009,0.0021605575,0.0000000000,0.0000000000,0.0193858482,0.0156001532,0.0153974053,0.0608952492,0.0000000000,0.0012063476,0.0515549630,0.0364633314,0.0000003624,0.0000000000,0.0000000000,0.0000000000,-0.1206417680,0.0836484283,-0.0270811394,-0.1209603325,0.0836475715,-0.0218741130
