Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
06:50:09:03.971,61,0.0944357961,0.3524702489,0.0000000000,0.1892025322,0.0000000000,0.0000000000,0.0000000000,0.0957097411,0.3483413160,0.2223102003,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0096951155,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044207028,0.0174130686,0.0000000000,0.0248097703,0.0657250658,0.0000000000,0.0000000000,0.0523784533,0.0511046834,0.0134303384,0.0000000000,0.0772385523,0.0044668219,0.1162292361,0.0878449306,0.1406543404,0.1672734469,0.0090490095,0.0023989792,0.0261467639,0.0231444556,0.0000000000,0.0000000000,0.1331096739,0.0415861905,0.0379706807,0.0516856685,0.0292028412,0.0309212711,0.0650730282,0.0451166518,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1091978773,0.3130619824,-0.0552165955,-0.1055467576,0.3130766749,-0.0345953889
06:50:09:04.973,61,0.0959458277,0.3566113114,0.0000000000,0.1956433058,0.0000000000,0.0000000000,0.0000000000,0.0972743854,0.3523480594,0.2295034975,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0094215823,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050711385,0.0174774267,0.0000000000,0.0040761135,0.0452626422,0.0000000000,0.0000000000,0.0568453334,0.0557647534,0.0128221232,0.0000000000,0.0870900005,0.0061518238,0.1271302104,0.0975319147,0.1557765901,0.1832339913,0.0085701291,0.0020320008,0.0260541420,0.0230252277,0.0000000000,0.0000000000,0.1339715123,0.0422402620,0.0385471992,0.0553740114,0.0289053973,0.0304679666,0.0637355894,0.0439727269,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1126733348,0.3157323003,-0.0565546900,-0.1090801656,0.3157471418,-0.0357721038
06:50:09:05.974,61,0.0969572589,0.3604017198,0.0000000000,0.2053525746,0.0000000000,0.0000000000,0.0000000000,0.0982907191,0.3559648395,0.2402590662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0090063149,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0057131401,0.0173249841,0.0000000000,0.0181679539,0.0550050735,0.0000000000,0.0000000000,0.0587949939,0.0578147024,0.0115012322,0.0000000000,0.0921709985,0.0077645127,0.1303489059,0.1002889276,0.1511022896,0.1733091772,0.0082100434,0.0018267349,0.0259532891,0.0229167659,0.0000000000,0.0000000000,0.1341200918,0.0428693146,0.0391148217,0.0576864146,0.0285936762,0.0300705805,0.0628101751,0.0431772470,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1179307476,0.3182541728,-0.0582717881,-0.1144479066,0.3182691336,-0.0373556428
06:50:09:06.976,61,0.0975759551,0.3639420271,0.0000000000,0.2110860199,0.0000000000,0.0000000000,0.0000000000,0.0988857150,0.3593843877,0.2466501147,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0086809322,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0062651085,0.0171838719,0.0000000000,0.0312978998,0.0675260052,0.0000000000,0.0000000000,0.0598370358,0.0589461327,0.0106119988,0.0000000000,0.0946036577,0.0087814294,0.1288959384,0.0984478220,0.1428721398,0.1645262241,0.0078881104,0.0016519177,0.0259017814,0.0228403248,0.0000000000,0.0000000000,0.1343214959,0.0434710532,0.0396841206,0.0591353290,0.0283009578,0.0297375023,0.0621008240,0.0425269566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1210127994,0.3205527067,-0.0594786778,-0.1175866574,0.3205677271,-0.0384267047
06:50:09:07.978,61,0.0977551043,0.3647068441,0.0000000000,0.2102322876,0.0000000000,0.0000000000,0.0000000000,0.0990320817,0.3601509035,0.2457214594,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003478990,0.0083283437,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0067204479,0.0169893168,0.0000000000,0.0525318086,0.0893410221,0.0000000000,0.0000000000,0.0602925830,0.0594652668,0.0097659715,0.0000000000,0.0951495394,0.0096062785,0.1196486726,0.0902097523,0.1325579435,0.1531822085,0.0076802303,0.0015842305,0.0258385949,0.0227565803,0.0000000000,0.0000000000,0.1343302876,0.0438548550,0.0400568359,0.0599601418,0.0281610694,0.0295796581,0.0614809431,0.0419840962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1205266938,0.3210081756,-0.0594746172,-0.1170919836,0.3210232258,-0.0383879319
06:50:09:08.979,61,0.0977997407,0.3645538688,0.0000000000,0.2083969116,0.0000000000,0.0000000000,0.0000000000,0.0990484133,0.3600243032,0.2436963767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007155155,0.0079814019,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0071232156,0.0166518614,0.0000000000,0.0627675578,0.1016511396,0.0000000000,0.0000000000,0.0602744408,0.0595138520,0.0091763027,0.0000000000,0.0902267173,0.0101548992,0.1122773290,0.0836482123,0.1198285893,0.1397954226,0.0075151152,0.0015657842,0.0257788673,0.0226941183,0.0000000000,0.0000000000,0.1354231238,0.0443910919,0.0405637734,0.0602458045,0.0282001775,0.0296279080,0.0611751750,0.0417344198,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1195216551,0.3208774328,-0.0592203140,-0.1160669923,0.3208925128,-0.0381350294
06:50:09:09.980,61,0.0977942869,0.3640270829,0.0000000000,0.2065279782,0.0000000000,0.0000000000,0.0000000000,0.0990247801,0.3595298231,0.2416059375,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010205255,0.0076725492,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074699745,0.0163222123,0.0000000000,0.0718216375,0.1136125103,0.0000000000,0.0000000000,0.0600195676,0.0593102165,0.0087810289,0.0000000000,0.0855733007,0.0106357904,0.1048389673,0.0769077688,0.1107762158,0.1304633766,0.0074983141,0.0016803554,0.0256795287,0.0226074159,0.0000000000,0.0000000000,0.1366063654,0.0449905656,0.0411060229,0.0600950532,0.0283363480,0.0298742894,0.0610620864,0.0417178646,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1184951439,0.3205155134,-0.0589090064,-0.1150310338,0.3205305636,-0.0378433466
06:50:09:10.983,61,0.0979467556,0.3636508882,0.0000000000,0.2039243281,0.0000000000,0.0000000000,0.0000000000,0.0991762280,0.3591931164,0.2387244701,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012816534,0.0074545676,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0079657976,0.0159189887,0.0000000000,0.0757485107,0.1190430745,0.0000000000,0.0000000000,0.0595356561,0.0589046404,0.0087608704,0.0000000000,0.0803984925,0.0108919963,0.1020209417,0.0742527843,0.1042959467,0.1240855977,0.0074251322,0.0017522902,0.0256500933,0.0225990880,0.0000000000,0.0000000000,0.1400070488,0.0454234704,0.0414817594,0.0596881099,0.0287885461,0.0305073056,0.0612848587,0.0419762060,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1170695052,0.3202327490,-0.0585273728,-0.1135800034,0.3202477694,-0.0374711379
06:50:09:11.984,61,0.0979505032,0.3626636565,0.0000000000,0.2005153149,0.0000000000,0.0000000000,0.0000000000,0.0991755649,0.3582633436,0.2349513918,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015099252,0.0072754580,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084136948,0.0156567451,0.0000000000,0.0890212208,0.1295679957,0.0000000000,0.0000000000,0.0590101480,0.0584411547,0.0088106114,0.0000000000,0.0764757171,0.0110783009,0.1001733318,0.0724691600,0.0997170806,0.1193452701,0.0074358033,0.0018647697,0.0256772134,0.0226092916,0.0000000000,0.0000000000,0.1417391747,0.0459524840,0.0419492051,0.0591367818,0.0293232445,0.0311454292,0.0616962239,0.0423239134,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1152169779,0.3195581138,-0.0579639301,-0.1116900295,0.3195731044,-0.0369401537
06:50:09:12.986,61,0.0978693143,0.3610810041,0.0000000000,0.1966985464,0.0000000000,0.0000000000,0.0000000000,0.0990883335,0.3567488194,0.2307640165,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016418126,0.0070836260,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0088123055,0.0153356176,0.0000000000,0.0934325531,0.1337153167,0.0000000000,0.0000000000,0.0583896153,0.0578838475,0.0083877398,0.0000000000,0.0746158734,0.0112559460,0.0988322124,0.0711683556,0.0975843519,0.1171334609,0.0073599736,0.0019070441,0.0257027242,0.0226324648,0.0000000000,0.0000000000,0.1427550614,0.0463876799,0.0423313119,0.0587789565,0.0297245122,0.0316765010,0.0619792752,0.0426080152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1131744608,0.3185097277,-0.0572781041,-0.1095828861,0.3185246289,-0.0363060310
