Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
06:56:17:56.243,61,0.1166265383,0.3301952183,0.0000000000,0.2779397070,0.0000000000,0.0000000000,0.0000000000,0.1174097136,0.3251436055,0.3226491809,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0209238641,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0352949090,0.0327534415,0.0000000000,0.0620863326,0.0712735057,0.0000000000,0.0000000000,0.0325035118,0.0332991704,0.0000000000,0.0000000000,0.0706153363,0.0168314725,0.0346461497,0.0179503318,0.1088863462,0.1302869767,0.0143954623,0.0017331038,0.0258751735,0.0186763313,0.0052996073,0.0053891339,0.0518898033,0.0000000000,0.0000000000,0.1426382512,0.0255620759,0.0193563923,0.0640287250,0.0430832952,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1600445211,0.3010744750,-0.0629154146,-0.1558976173,0.3010842800,-0.0431658216
06:56:17:57.245,61,0.1175702438,0.3269894123,0.0000000000,0.2771702111,0.0000000000,0.0000000000,0.0000000000,0.1184566319,0.3219977915,0.3217279315,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210367516,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0432313904,0.0332625359,0.0000000000,0.0323139355,0.0493293256,0.0000000000,0.0000000000,0.0323989168,0.0330532007,0.0000000000,0.0000000000,0.0798568651,0.0193789508,0.0530571342,0.0297363009,0.1235658079,0.1472922564,0.0141961109,0.0015552860,0.0258625560,0.0186766405,0.0062789642,0.0066081127,0.0495441854,0.0000000000,0.0000000000,0.1586190313,0.0247251950,0.0185525063,0.0633365810,0.0426477604,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1596855223,0.2990639210,-0.0623077303,-0.1555418223,0.2990735471,-0.0426946469
06:56:17:58.246,61,0.1182750091,0.3253028393,0.0000000000,0.2810624540,0.0000000000,0.0000000000,0.0000000000,0.1191961467,0.3202900589,0.3259986341,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0212029126,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0468018204,0.0338400155,0.0000000000,0.0225180984,0.0418166853,0.0000000000,0.0000000000,0.0321011133,0.0326143391,0.0000000000,0.0000000000,0.0840267763,0.0207621735,0.0588603243,0.0333362706,0.1284862012,0.1528507322,0.0139743984,0.0013624087,0.0259070694,0.0187231153,0.0069285515,0.0073360228,0.0482255891,0.0000000000,0.0000000000,0.1652116776,0.0235970113,0.0177178904,0.0626358241,0.0421563461,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1618787646,0.2981030643,-0.0624861494,-0.1577736139,0.2981126904,-0.0429535173
06:56:17:59.248,61,0.1189547256,0.3242219090,0.0000000000,0.2861217558,0.0000000000,0.0000000000,0.0000000000,0.1199080572,0.3191668391,0.3315218091,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0212608483,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0490344390,0.0343021043,0.0000000000,0.0206632353,0.0398959778,0.0000000000,0.0000000000,0.0317932405,0.0321466029,0.0000000000,0.0000000000,0.0862712190,0.0216088835,0.0627156496,0.0368522145,0.1310972124,0.1557523608,0.0135795642,0.0010465296,0.0260661207,0.0188796185,0.0073859333,0.0078342361,0.0466528721,0.0000000000,0.0000000000,0.1681998372,0.0228058212,0.0170493070,0.0623156279,0.0419580974,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1646806598,0.2975460589,-0.0628894567,-0.1606485397,0.2975556254,-0.0434186235
06:56:18:00.250,61,0.1195411384,0.3241027296,0.0000000000,0.2924554050,0.0000000000,0.0000000000,0.0000000000,0.1205184162,0.3189742565,0.3384838104,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0213471930,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0504076332,0.0347478464,0.0000000000,0.0192866400,0.0386071280,0.0000000000,0.0000000000,0.0314529948,0.0316695496,0.0000000000,0.0000000000,0.0873149410,0.0223669242,0.0642013252,0.0381476209,0.1319269985,0.1560669392,0.0133003788,0.0008225037,0.0260976404,0.0189170428,0.0075907866,0.0080546159,0.0455831029,0.0000000000,0.0000000000,0.1667525768,0.0220301785,0.0163726211,0.0618627928,0.0416210406,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1681730747,0.2976186872,-0.0635977387,-0.1642178446,0.2976282239,-0.0441491120
06:56:18:01.252,61,0.1202266812,0.3251174986,0.0000000000,0.2919345498,0.0000000000,0.0000000000,0.0000000000,0.1212178245,0.3199753463,0.3380082548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0212994777,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0512385443,0.0350567363,0.0000000000,0.0208193008,0.0388722345,0.0000000000,0.0000000000,0.0312177110,0.0313100480,0.0000000000,0.0000000000,0.0880671740,0.0236361977,0.0645321161,0.0385145545,0.1320291013,0.1555773467,0.0132015301,0.0007816693,0.0260778442,0.0189199112,0.0080598919,0.0085405214,0.0438524522,0.0000000000,0.0000000000,0.1649746895,0.0215233658,0.0159801710,0.0613760278,0.0412706919,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1679019034,0.2982384562,-0.0637143180,-0.1638993919,0.2982480526,-0.0442132652
06:56:18:02.253,61,0.1219847947,0.3256613314,0.0000000000,0.2878470719,0.0000000000,0.0000000000,0.0000000000,0.1229523867,0.3205589354,0.3335331082,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001398116,0.0212208275,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0520311929,0.0352633484,0.0000000000,0.0210078973,0.0387298167,0.0000000000,0.0000000000,0.0309179369,0.0308806654,0.0000000000,0.0000000000,0.0884183794,0.0245561786,0.0642583892,0.0383856036,0.1313084066,0.1538342237,0.0131641170,0.0007988124,0.0260053463,0.0188820977,0.0086860023,0.0091890721,0.0423466079,0.0000000000,0.0000000000,0.1641711742,0.0211439151,0.0156369004,0.0609419569,0.0409235694,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1656421423,0.2984818220,-0.0633336306,-0.1615846753,0.2984913588,-0.0437973700
06:56:18:03.255,61,0.1250031143,0.3262699246,0.0000000000,0.2794940472,0.0000000000,0.0000000000,0.0000000000,0.1258974671,0.3212565482,0.3243891001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008529534,0.0211878791,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0523213036,0.0355240107,0.0000000000,0.0247728620,0.0411905982,0.0000000000,0.0000000000,0.0305814017,0.0304272622,0.0000000000,0.0000000000,0.0884263441,0.0252067838,0.0631782338,0.0380268469,0.1296676099,0.1510959268,0.0132213319,0.0008714953,0.0259892922,0.0188705269,0.0094846496,0.0100116553,0.0401210077,0.0000000000,0.0000000000,0.1571107656,0.0207725689,0.0152266761,0.0606580600,0.0406259559,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1610416174,0.2986690402,-0.0624718666,-0.1568673104,0.2986786366,-0.0428839810
06:56:18:04.257,61,0.1259799600,0.3259347379,0.0000000000,0.2798323333,0.0000000000,0.0000000000,0.0000000000,0.1268424690,0.3209227026,0.3247527480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012803558,0.0211228430,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0522845127,0.0357180573,0.0000000000,0.0266990177,0.0419924632,0.0000000000,0.0000000000,0.0303129330,0.0300875902,0.0000000000,0.0000000000,0.0871398225,0.0257972181,0.0544494241,0.0342965834,0.1240799576,0.1426565498,0.0133721009,0.0010433842,0.0257773101,0.0186721403,0.0096818069,0.0101889819,0.0393057317,0.0000000000,0.0000000000,0.1444182396,0.0202654954,0.0146325259,0.0598204583,0.0399239548,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1612344980,0.2984682918,-0.0624564141,-0.1570657939,0.2984778285,-0.0428839624
06:56:18:05.258,61,0.1263819188,0.3268278241,0.0000000000,0.2765620053,0.0000000000,0.0000000000,0.0000000000,0.1272234619,0.3218432665,0.3211210072,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009524435,0.0213372428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0487632006,0.0355945081,0.0000000000,0.0759842694,0.0868714750,0.0000000000,0.0000000000,0.0300646108,0.0299073998,0.0000000000,0.0000000000,0.0630780682,0.0257364158,0.0398725271,0.0270173773,0.1053750664,0.1227325350,0.0135628907,0.0012364625,0.0254652314,0.0184072610,0.0089934394,0.0094478624,0.0391209200,0.0000000000,0.0000000000,0.0920080468,0.0197542198,0.0142707899,0.0593018532,0.0395053215,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.1593866646,0.2989497781,-0.0622179061,-0.1552033573,0.2989594340,-0.0426036082
