,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
207,0.0,0.0,0.0,0.0,0.0,0.0,0.1100,0.9752,0.1329,0.5940,0.5218,-0.4609,-0.4030
208,0.0,0.0,0.0,0.0,0.0,0.0,0.1335,0.9575,0.1220,0.5936,0.5218,-0.4617,-0.4026
209,0.0,0.0,0.0,0.0,0.0,0.0,0.1240,0.9690,0.1211,0.5934,0.5215,-0.4626,-0.4025
210,0.0,0.0,0.0,0.0,0.0,0.0,0.1249,0.9855,0.1274,0.5931,0.5210,-0.4634,-0.4026
211,0.0,0.0,0.0,0.0,0.0,0.0,0.1133,0.9883,0.1293,0.5925,0.5217,-0.4641,-0.4018
212,0.0,0.0,0.0,0.0,0.0,0.0,0.1078,1.0050,0.1332,0.5922,0.5221,-0.4643,-0.4014
213,0.0,0.0,0.0,0.0,0.0,0.0,0.1029,1.0017,0.1346,0.5923,0.5221,-0.4642,-0.4014
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0960,1.0030,0.1308,0.5924,0.5220,-0.4640,-0.4015
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0919,0.9954,0.1241,0.5925,0.5219,-0.4635,-0.4021
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0916,0.9847,0.1175,0.5920,0.5232,-0.4632,-0.4016
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0963,0.9763,0.1136,0.5915,0.5241,-0.4632,-0.4011
218,0.0,0.0,0.0,0.0,0.0,0.0,0.1021,0.9719,0.1084,0.5912,0.5244,-0.4637,-0.4006
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0955,0.9823,0.1109,0.5909,0.5254,-0.4643,-0.3992
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0876,0.9981,0.1147,0.5906,0.5263,-0.4647,-0.3977
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0858,1.0039,0.1214,0.5907,0.5264,-0.4650,-0.3971
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0892,1.0037,0.1252,0.5908,0.5264,-0.4653,-0.3967
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0936,1.0026,0.1289,0.5908,0.5262,-0.4655,-0.3967
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0950,1.0005,0.1322,0.5912,0.5255,-0.4654,-0.3972
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0978,0.9960,0.1355,0.5915,0.5250,-0.4652,-0.3976
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0991,0.9911,0.1359,0.5919,0.5245,-0.4648,-0.3982
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0980,0.9838,0.1344,0.5920,0.5247,-0.4644,-0.3981
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.9789,0.1334,0.5919,0.5252,-0.4643,-0.3978
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0905,0.9792,0.1320,0.5921,0.5254,-0.4639,-0.3978
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0821,0.9775,0.1292,0.5921,0.5260,-0.4636,-0.3974
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0718,0.9769,0.1259,0.5918,0.5262,-0.4634,-0.3976
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.9735,0.1221,0.5916,0.5256,-0.4634,-0.3988
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0746,0.9716,0.1169,0.5910,0.5255,-0.4638,-0.3993
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0811,0.9763,0.1146,0.5897,0.5263,-0.4649,-0.3989
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0881,0.9819,0.1151,0.5886,0.5264,-0.4661,-0.3989
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0936,0.9862,0.1165,0.5878,0.5257,-0.4676,-0.3992
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0992,0.9918,0.1175,0.5873,0.5247,-0.4690,-0.3997
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,1.0016,0.1162,0.5869,0.5235,-0.4701,-0.4007
239,0.0,0.0,0.0,0.0,0.0,0.0,0.1098,1.0042,0.1200,0.5867,0.5218,-0.4711,-0.4020
240,0.0,0.0,0.0,0.0,0.0,0.0,0.1186,1.0049,0.1214,0.5866,0.5201,-0.4719,-0.4033
241,0.0,0.0,0.0,0.0,0.0,0.0,0.1239,0.9998,0.1204,0.5862,0.5195,-0.4727,-0.4037
242,0.0,0.0,0.0,0.0,0.0,0.0,0.1258,0.9968,0.1204,0.5860,0.5193,-0.4734,-0.4036
243,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.9979,0.1204,0.5862,0.5184,-0.4736,-0.4042
244,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.9964,0.1218,0.5865,0.5177,-0.4735,-0.4047
245,0.0,0.0,0.0,0.0,0.0,0.0,0.1211,0.9892,0.1171,0.5866,0.5181,-0.4735,-0.4040
246,0.0,0.0,0.0,0.0,0.0,0.0,0.1380,0.9602,0.1004,0.5865,0.5186,-0.4741,-0.4029
247,0.0,0.0,0.0,0.0,0.0,0.0,0.1326,0.9584,0.0980,0.5866,0.5192,-0.4749,-0.4010
248,0.0,0.0,0.0,0.0,0.0,0.0,0.1186,0.9846,0.1020,0.5864,0.5205,-0.4756,-0.3986
249,0.0,0.0,0.0,0.0,0.0,0.0,0.1031,0.9918,0.1100,0.5863,0.5217,-0.4760,-0.3968
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0900,1.0121,0.1205,0.5866,0.5225,-0.4761,-0.3953
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0890,1.0150,0.1248,0.5866,0.5238,-0.4760,-0.3937
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0889,0.9921,0.1199,0.5868,0.5245,-0.4758,-0.3926
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0887,0.9863,0.1189,0.5873,0.5244,-0.4754,-0.3926
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0877,0.9839,0.1170,0.5876,0.5243,-0.4751,-0.3927
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0867,0.9829,0.1170,0.5877,0.5247,-0.4749,-0.3922
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0906,0.9843,0.1179,0.5876,0.5256,-0.4749,-0.3911
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.9841,0.1170,0.5879,0.5255,-0.4751,-0.3906
258,0.0,0.0,0.0,0.0,0.0,0.0,0.1043,0.9838,0.1212,0.5883,0.5249,-0.4753,-0.3905
259,0.0,0.0,0.0,0.0,0.0,0.0,0.1034,0.9844,0.1189,0.5883,0.5253,-0.4757,-0.3895
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.9933,0.1199,0.5885,0.5250,-0.4759,-0.3894
261,0.0,0.0,0.0,0.0,0.0,0.0,0.1025,1.0057,0.1280,0.5889,0.5246,-0.4759,-0.3893
262,0.0,0.0,0.0,0.0,0.0,0.0,0.1026,1.0096,0.1280,0.5890,0.5251,-0.4757,-0.3887
263,0.0,0.0,0.0,0.0,0.0,0.0,0.1044,1.0047,0.1280,0.5891,0.5255,-0.4753,-0.3885
264,0.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.9920,0.1288,0.5895,0.5252,-0.4747,-0.3889
265,0.0,0.0,0.0,0.0,0.0,0.0,0.1035,0.9900,0.1298,0.5901,0.5248,-0.4741,-0.3894
266,0.0,0.0,0.0,0.0,0.0,0.0,0.1010,0.9867,0.1297,0.5902,0.5256,-0.4734,-0.3889
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0985,0.9843,0.1292,0.5904,0.5261,-0.4726,-0.3890
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0979,0.9810,0.1269,0.5906,0.5266,-0.4719,-0.3889
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0983,0.9781,0.1259,0.5906,0.5276,-0.4714,-0.3881
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0973,0.9791,0.1250,0.5906,0.5283,-0.4711,-0.3875
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0940,0.9821,0.1264,0.5907,0.5290,-0.4707,-0.3869
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0956,0.9860,0.1255,0.5913,0.5289,-0.4701,-0.3869
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0942,0.9880,0.1246,0.5918,0.5286,-0.4694,-0.3872
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0972,0.9903,0.1269,0.5923,0.5287,-0.4689,-0.3870
