,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
207,0.0,0.0,0.0,0.0,0.0,0.0,-0.2304,-0.9687,-0.0119,0.6659,-0.6694,-0.1570,0.2895
208,0.0,0.0,0.0,0.0,0.0,0.0,-0.2289,-0.9682,-0.0105,0.6664,-0.6691,-0.1565,0.2894
209,0.0,0.0,0.0,0.0,0.0,0.0,-0.2255,-0.9541,-0.0127,0.6667,-0.6688,-0.1562,0.2894
210,0.0,0.0,0.0,0.0,0.0,0.0,-0.2203,-0.9473,-0.0262,0.6666,-0.6689,-0.1564,0.2894
211,0.0,0.0,0.0,0.0,0.0,0.0,-0.2198,-0.9609,-0.0284,0.6665,-0.6690,-0.1570,0.2892
212,0.0,0.0,0.0,0.0,0.0,0.0,-0.2233,-0.9663,-0.0227,0.6664,-0.6690,-0.1575,0.2889
213,0.0,0.0,0.0,0.0,0.0,0.0,-0.2171,-0.9798,-0.0168,0.6665,-0.6689,-0.1582,0.2888
214,0.0,0.0,0.0,0.0,0.0,0.0,-0.2139,-0.9803,-0.0096,0.6667,-0.6685,-0.1588,0.2888
215,0.0,0.0,0.0,0.0,0.0,0.0,-0.2140,-0.9857,-0.0039,0.6671,-0.6680,-0.1591,0.2889
216,0.0,0.0,0.0,0.0,0.0,0.0,-0.2121,-0.9886,-0.0026,0.6675,-0.6674,-0.1594,0.2891
217,0.0,0.0,0.0,0.0,0.0,0.0,-0.2047,-0.9813,-0.0026,0.6681,-0.6666,-0.1598,0.2895
218,0.0,0.0,0.0,0.0,0.0,0.0,-0.1959,-0.9697,-0.0049,0.6686,-0.6658,-0.1604,0.2898
219,0.0,0.0,0.0,0.0,0.0,0.0,-0.1910,-0.9498,-0.0066,0.6690,-0.6651,-0.1611,0.2900
220,0.0,0.0,0.0,0.0,0.0,0.0,-0.1885,-0.9450,-0.0065,0.6690,-0.6647,-0.1619,0.2903
221,0.0,0.0,0.0,0.0,0.0,0.0,-0.1842,-0.9595,-0.0050,0.6689,-0.6645,-0.1628,0.2905
222,0.0,0.0,0.0,0.0,0.0,0.0,-0.1847,-0.9760,-0.0024,0.6688,-0.6644,-0.1636,0.2907
223,0.0,0.0,0.0,0.0,0.0,0.0,-0.1881,-0.9867,-0.0049,0.6687,-0.6644,-0.1642,0.2907
224,0.0,0.0,0.0,0.0,0.0,0.0,-0.1964,-0.9886,-0.0072,0.6686,-0.6644,-0.1643,0.2908
225,0.0,0.0,0.0,0.0,0.0,0.0,-0.2062,-0.9910,-0.0051,0.6686,-0.6645,-0.1641,0.2907
226,0.0,0.0,0.0,0.0,0.0,0.0,-0.2160,-0.9920,-0.0035,0.6688,-0.6644,-0.1635,0.2907
227,0.0,0.0,0.0,0.0,0.0,0.0,-0.2204,-0.9871,0.0000,0.6692,-0.6642,-0.1628,0.2907
228,0.0,0.0,0.0,0.0,0.0,0.0,-0.2214,-0.9794,0.0002,0.6697,-0.6638,-0.1621,0.2908
229,0.0,0.0,0.0,0.0,0.0,0.0,-0.2175,-0.9668,0.0023,0.6702,-0.6633,-0.1616,0.2910
230,0.0,0.0,0.0,0.0,0.0,0.0,-0.2141,-0.9614,0.0057,0.6708,-0.6628,-0.1613,0.2911
231,0.0,0.0,0.0,0.0,0.0,0.0,-0.2093,-0.9619,0.0071,0.6712,-0.6624,-0.1611,0.2911
232,0.0,0.0,0.0,0.0,0.0,0.0,-0.1981,-0.9619,0.0083,0.6717,-0.6619,-0.1613,0.2911
233,0.0,0.0,0.0,0.0,0.0,0.0,-0.1879,-0.9610,0.0091,0.6722,-0.6614,-0.1617,0.2908
234,0.0,0.0,0.0,0.0,0.0,0.0,-0.1830,-0.9547,0.0077,0.6726,-0.6611,-0.1621,0.2903
235,0.0,0.0,0.0,0.0,0.0,0.0,-0.1824,-0.9542,0.0062,0.6730,-0.6610,-0.1626,0.2893
236,0.0,0.0,0.0,0.0,0.0,0.0,-0.1838,-0.9576,0.0018,0.6733,-0.6612,-0.1630,0.2880
237,0.0,0.0,0.0,0.0,0.0,0.0,-0.1872,-0.9595,-0.0025,0.6734,-0.6616,-0.1632,0.2866
238,0.0,0.0,0.0,0.0,0.0,0.0,-0.1900,-0.9648,-0.0064,0.6733,-0.6623,-0.1633,0.2852
239,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968,-0.9765,-0.0108,0.6731,-0.6631,-0.1632,0.2839
