,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
207,0.0,0.0,0.0,0.0,0.0,0.0,-0.0536,-1.0057,0.0932,0.7657,-0.6415,0.0188,0.0422
208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0531,-1.0033,0.0971,0.7661,-0.6410,0.0195,0.0420
209,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389,-1.0042,0.0859,0.7664,-0.6408,0.0189,0.0412
210,0.0,0.0,0.0,0.0,0.0,0.0,-0.0443,-0.9774,0.0835,0.7662,-0.6409,0.0194,0.0416
211,0.0,0.0,0.0,0.0,0.0,0.0,-0.0424,-1.0013,0.0874,0.7665,-0.6407,0.0183,0.0408
212,0.0,0.0,0.0,0.0,0.0,0.0,-0.0394,-1.0106,0.1050,0.7670,-0.6401,0.0170,0.0403
213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0404,-1.0121,0.0986,0.7667,-0.6405,0.0176,0.0405
214,0.0,0.0,0.0,0.0,0.0,0.0,-0.0404,-1.0106,0.1113,0.7674,-0.6397,0.0165,0.0403
215,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355,-1.0145,0.1172,0.7685,-0.6384,0.0158,0.0408
216,0.0,0.0,0.0,0.0,0.0,0.0,-0.0399,-1.0189,0.1162,0.7679,-0.6391,0.0161,0.0406
217,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,-1.0038,0.1182,0.7693,-0.6374,0.0154,0.0410
218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0233,-0.9706,0.1138,0.7704,-0.6360,0.0141,0.0414
219,0.0,0.0,0.0,0.0,0.0,0.0,-0.0257,-0.9809,0.1148,0.7700,-0.6365,0.0149,0.0412
220,0.0,0.0,0.0,0.0,0.0,0.0,-0.0184,-0.9804,0.1182,0.7705,-0.6360,0.0128,0.0415
221,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139,-1.0063,0.1177,0.7702,-0.6363,0.0105,0.0420
222,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149,-0.9955,0.1202,0.7704,-0.6360,0.0115,0.0418
223,0.0,0.0,0.0,0.0,0.0,0.0,-0.0188,-1.0116,0.1143,0.7699,-0.6367,0.0098,0.0422
224,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389,-1.0253,0.1123,0.7695,-0.6371,0.0101,0.0422
