Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
04:44:37:22.862,61,0.0648352280,0.1305153519,0.0000000000,0.0925692022,0.0000000000,0.0000000000,0.0000000000,0.0649118870,0.1288056076,0.1295742840,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0266485028,0.0230012890,0.0000000000,0.0215100367,0.0157953147,0.0542716980,0.1093278155,0.0136956936,0.0000000000,0.0000000000,0.0000000000,0.1234358326,0.1335136592,0.0005142179,0.0009862464,0.0845503435,0.0728652477,0.0227857418,0.0029698722,0.1140717268,0.0619535446,0.0248062685,0.0283810701,0.0135313608,0.0103108808,0.0026374566,0.0004647313,0.0000000000,0.0000000000,0.0437825844,0.0187231246,0.0186038800,0.0787449405,0.0000000000,0.0000000000,0.0359483659,0.0249543246,0.0000006162,0.0000000000,0.0000000000,0.0000000000,-0.0715519041,0.0660661012,-0.0155855212,-0.0718238205,0.0660740659,-0.0114344638
04:44:37:23.863,61,0.0654025748,0.1335957795,0.0000000000,0.0973349363,0.0000000000,0.0000000000,0.0000000000,0.0654811561,0.1318053454,0.1348017454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0255512018,0.0228718799,0.0000000000,0.0213487521,0.0157712828,0.0541209802,0.1089070514,0.0135612972,0.0000000000,0.0000000000,0.0000000000,0.0944641754,0.1056894138,0.0005240485,0.0009898579,0.0835899487,0.0722752064,0.0223270003,0.0029043839,0.0858829170,0.0497910865,0.0246457700,0.0281948280,0.0135444654,0.0103382971,0.0026050517,0.0004379519,0.0000000000,0.0000000000,0.0431255177,0.0183319133,0.0182070006,0.0785059258,0.0000000000,0.0000000000,0.0362991840,0.0253052898,0.0000006240,0.0000000000,0.0000000000,0.0000000000,-0.0744232684,0.0676508248,-0.0162799973,-0.0746758282,0.0676586851,-0.0120265763
04:44:37:24.864,61,0.0674443841,0.1370884627,0.0000000000,0.0959577039,0.0000000000,0.0000000000,0.0000000000,0.0675336346,0.1352953166,0.1333829165,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0249878559,0.0225661211,0.0000000000,0.0215384047,0.0161449760,0.0543594211,0.1089068428,0.0132915778,0.0000000000,0.0000000000,0.0000000000,0.0835120603,0.0948552340,0.0005672128,0.0010323002,0.0824131742,0.0717565566,0.0220172089,0.0029634053,0.0778413862,0.0446229577,0.0244455114,0.0279352926,0.0137791354,0.0106114987,0.0026025244,0.0004342760,0.0000000000,0.0000000000,0.0423408225,0.0177509170,0.0176201612,0.0782423466,0.0000000000,0.0000000000,0.0369600914,0.0258440766,0.0000005236,0.0000000000,0.0000000000,0.0000000000,-0.0735980347,0.0694066137,-0.0163531974,-0.0738292783,0.0694144145,-0.0119822538
04:44:37:25.866,61,0.0690043792,0.1410550326,0.0000000000,0.0908261314,0.0000000000,0.0000000000,0.0000000000,0.0691066384,0.1393065900,0.1279326677,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0248052515,0.0220696963,0.0000000000,0.0218689553,0.0166424010,0.0544516332,0.1090202779,0.0129744597,0.0000000000,0.0000000000,0.0000000000,0.0786316246,0.0926977247,0.0006359613,0.0010998379,0.0806583017,0.0712445304,0.0219632778,0.0031078656,0.0738381520,0.0420658216,0.0242929496,0.0276851840,0.0140934922,0.0109795760,0.0026318925,0.0004603377,0.0000000000,0.0000000000,0.0415872298,0.0171078853,0.0169724971,0.0779500529,0.0000000000,0.0000000000,0.0375667363,0.0263257436,0.0000004395,0.0000000000,0.0000000000,0.0000000000,-0.0705302656,0.0713790059,-0.0160497539,-0.0707234740,0.0713867173,-0.0115419095
04:44:37:26.868,61,0.0700242519,0.1425399184,0.0000000000,0.0871828645,0.0000000000,0.0000000000,0.0000000000,0.0701321810,0.1408316493,0.1240384579,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0249835774,0.0215238240,0.0000000000,0.0224794261,0.0179012436,0.0548131950,0.1093010753,0.0125469370,0.0000000000,0.0000000000,0.0000000000,0.0868102983,0.1029250994,0.0007482795,0.0012288194,0.0797688738,0.0711291507,0.0221703816,0.0032910777,0.0721127838,0.0406431258,0.0241178200,0.0273846891,0.0145203853,0.0114932004,0.0026984788,0.0005232532,0.0000000000,0.0000000000,0.0409609005,0.0164380465,0.0162995961,0.0774880350,0.0000000000,0.0000000000,0.0381889530,0.0267904010,0.0000002155,0.0000000000,0.0000000000,0.0000000000,-0.0683534294,0.0721077323,-0.0157473292,-0.0685259998,0.0721153989,-0.0111866407
04:44:37:27.869,61,0.0706444606,0.1415136158,0.0000000000,0.0870065987,0.0000000000,0.0000000000,0.0000000000,0.0707578287,0.1398147792,0.1237698272,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0252882410,0.0208356883,0.0000000000,0.0230878089,0.0187660661,0.0550794750,0.1092939898,0.0120399678,0.0000000000,0.0000000000,0.0000000000,0.0910231844,0.1065893546,0.0008905875,0.0013966933,0.0792732686,0.0713480413,0.0225551948,0.0034591537,0.0716836601,0.0399271511,0.0239031166,0.0270288959,0.0150089152,0.0120931966,0.0028200652,0.0006456249,0.0000000000,0.0000000000,0.0404845364,0.0160826594,0.0159367230,0.0764892623,0.0000000000,0.0000000000,0.0386146903,0.0271040611,0.0000001134,0.0000000000,0.0000000000,0.0000000000,-0.0682150051,0.0715884864,-0.0156609975,-0.0684249178,0.0715961978,-0.0111403810
04:44:37:28.871,61,0.0712549463,0.1404063702,0.0000000000,0.0872804523,0.0000000000,0.0000000000,0.0000000000,0.0713698044,0.1387114376,0.1239814386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0252643544,0.0202366896,0.0000000000,0.0236663837,0.0195505042,0.0555262715,0.1093151271,0.0114878993,0.0000000000,0.0000000000,0.0000000000,0.0923427045,0.1078701094,0.0010292777,0.0015704330,0.0787536651,0.0714851990,0.0228878204,0.0035397378,0.0723199472,0.0396157578,0.0236707553,0.0266456679,0.0153569989,0.0125753144,0.0029981949,0.0008222673,0.0000000000,0.0000000000,0.0402303711,0.0156847555,0.0155345676,0.0753741786,0.0000000000,0.0000000000,0.0391361788,0.0274565034,0.0000000679,0.0000000000,0.0000000000,0.0000000000,-0.0683439150,0.0710308403,-0.0156179499,-0.0685948282,0.0710386261,-0.0111407470
04:44:37:29.873,61,0.0719101802,0.1398364156,0.0000000000,0.0845396593,0.0000000000,0.0000000000,0.0000000000,0.0720246881,0.1381828040,0.1209362522,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0250239484,0.0197427161,0.0000000000,0.0241936333,0.0202276837,0.0556134917,0.1090063602,0.0108397575,0.0000000000,0.0000000000,0.0000000000,0.0887858272,0.1017065495,0.0011852235,0.0017682515,0.0779709592,0.0712561160,0.0231997445,0.0035838753,0.0727860108,0.0394278653,0.0233731270,0.0262148064,0.0155513193,0.0129155414,0.0031955410,0.0010344686,0.0000000000,0.0000000000,0.0398258418,0.0152953286,0.0151421325,0.0708038732,0.0000000000,0.0000000000,0.0396730714,0.0278595723,0.0000000404,0.0000000000,0.0000000000,0.0000000000,-0.0666594505,0.0707277060,-0.0152821895,-0.0669495314,0.0707355067,-0.0108299060
04:44:37:30.874,61,0.0725249127,0.1386985183,0.0000000000,0.0828528628,0.0000000000,0.0000000000,0.0000000000,0.0726374909,0.1370745450,0.1190448999,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0246800575,0.0193177853,0.0000000000,0.0246541332,0.0208000857,0.0556720346,0.1088274643,0.0101864366,0.0000000000,0.0000000000,0.0000000000,0.0875146240,0.0995930359,0.0012901938,0.0019085396,0.0768709406,0.0708437115,0.0233960878,0.0035839402,0.0734041110,0.0393874831,0.0230638031,0.0257816371,0.0155921280,0.0130966464,0.0033850365,0.0012427910,0.0000000000,0.0000000000,0.0394342989,0.0149917994,0.0148352822,0.0690187216,0.0000000000,0.0000000000,0.0402275510,0.0283113923,0.0000000258,0.0000000000,0.0000000000,0.0000000000,-0.0656210482,0.0701440275,-0.0150297806,-0.0659403950,0.0701518431,-0.0106193069
04:44:37:31.875,61,0.0731567889,0.1392182261,0.0000000000,0.0826942474,0.0000000000,0.0000000000,0.0000000000,0.0732672065,0.1375932395,0.1188970581,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0243878346,0.0188932549,0.0000000000,0.0251541361,0.0214043446,0.0556531698,0.1086909175,0.0096689053,0.0000000000,0.0000000000,0.0000000000,0.0831510723,0.0966708586,0.0014079562,0.0020528915,0.0759707168,0.0703757629,0.0235689487,0.0035939862,0.0738999024,0.0392936319,0.0227451492,0.0253473837,0.0156586878,0.0132799074,0.0035829982,0.0014454381,0.0000000000,0.0000000000,0.0391681306,0.0148202712,0.0146599617,0.0675476566,0.0000000000,0.0000000000,0.0408665650,0.0288127232,0.0000000332,0.0000000000,0.0000000000,0.0000000000,-0.0655337423,0.0704055578,-0.0150445290,-0.0658426806,0.0704134330,-0.0106152939
