,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
207.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007744459435343742,0.0041577741503715515,0.006318235769867897,1.0,6.938893903907228e-18,-5.204170427930421e-18,4.163336342344337e-17
208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019406612263992429,0.005203053820878267,0.0048128035850822926,0.9999994039535522,-0.00028975369059480727,0.001002986216917634,0.0002532365615479648
209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014111332595348358,-0.005799448117613792,-0.019635654985904694,0.9999984502792358,-0.0008956571109592915,0.001265927217900753,0.0008539101108908653
210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01785731315612793,-0.008603976108133793,0.002118428237736225,0.9999991655349731,-0.0005131748039275408,0.0009885086910799146,0.0006241960218176246
211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250406175851822,-0.005279522389173508,-0.0018646931275725365,0.9999996423721313,-7.585799176013097e-05,0.0007763660978525877,-0.00039523118175566196
212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416960334405303,0.002979543060064316,0.004789966158568859,0.9999997019767761,-0.0007795283454470336,-9.62548529059859e-06,-0.00011259054736001417
213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034609262365847826,0.011732855811715126,0.0031020359601825476,0.999997079372406,-0.0018866033060476184,-0.000912136456463486,0.0012174773728474975
214.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048143197782337666,0.018803825601935387,0.002292963908985257,0.9999952912330627,-0.0018367996672168374,-0.0014033650513738394,0.0020285784266889095
215.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036081161815673113,0.020537730306386948,0.013973497785627842,0.9999977350234985,-0.00043868753709830344,-0.000900203303899616,0.001894021057523787
216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031156616751104593,0.02162167802453041,0.01261016633361578,0.9999985694885254,0.0009191493736580014,0.00017738189490046352,0.0014053446939215064
217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011871462687849998,0.018829280510544777,0.006339244078844786,0.9999955892562866,0.0021540385205298662,0.0009855559328570962,0.0017782356590032578
218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678793877363205,0.015298490412533283,-0.014745891094207764,0.9999906420707703,0.0028776407707482576,0.0015737940557301044,0.0028173192404210567
219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172862708568573,0.01394550409168005,-0.02708144672214985,0.9999871850013733,0.003595684887841344,0.0015610699774697423,0.003200725419446826
220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020824402570724487,0.01316944882273674,-0.017954576760530472,0.9999834895133972,0.004505847580730915,0.000601656676735729,0.003511950373649597
221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019195562228560448,0.014191214926540852,-0.006216374225914478,0.9999722838401794,0.00551869161427021,-0.0011619430733844638,0.004856976214796305
