,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Quaterion_0,Quaterion_1,Quaterion_2,Quaterion_3
166,0.0,0.0,0.0,0.0,0.0,0.0,-0.0770,-0.9756,0.1914,0.7903,-0.6072,0.0006,0.0823
167,0.0,0.0,0.0,0.0,0.0,0.0,-0.0683,-0.9307,0.1699,0.7904,-0.6070,0.0013,0.0824
168,0.0,0.0,0.0,0.0,0.0,0.0,-0.0536,-0.9361,0.1655,0.7901,-0.6074,0.0006,0.0824
169,0.0,0.0,0.0,0.0,0.0,0.0,-0.0550,-0.9712,0.1797,0.7897,-0.6079,-0.0005,0.0824
170,0.0,0.0,0.0,0.0,0.0,0.0,-0.0677,-1.0063,0.1914,0.7894,-0.6083,-0.0013,0.0824
171,0.0,0.0,0.0,0.0,0.0,0.0,-0.0677,-1.0073,0.1890,0.7895,-0.6082,-0.0015,0.0824
172,0.0,0.0,0.0,0.0,0.0,0.0,-0.0702,-0.9927,0.1826,0.7894,-0.6083,-0.0014,0.0825
173,0.0,0.0,0.0,0.0,0.0,0.0,-0.0667,-0.9917,0.1821,0.7893,-0.6084,-0.0015,0.0828
174,0.0,0.0,0.0,0.0,0.0,0.0,-0.0609,-0.9931,0.1821,0.7893,-0.6084,-0.0017,0.0830
175,0.0,0.0,0.0,0.0,0.0,0.0,-0.0574,-0.9883,0.1831,0.7890,-0.6087,-0.0023,0.0830
176,0.0,0.0,0.0,0.0,0.0,0.0,-0.0530,-0.9834,0.1846,0.7890,-0.6088,-0.0030,0.0827
177,0.0,0.0,0.0,0.0,0.0,0.0,-0.0501,-0.9805,0.1866,0.7891,-0.6088,-0.0036,0.0823
178,0.0,0.0,0.0,0.0,0.0,0.0,-0.0516,-0.9751,0.1856,0.7890,-0.6090,-0.0042,0.0818
179,0.0,0.0,0.0,0.0,0.0,0.0,-0.0565,-0.9610,0.1768,0.7886,-0.6095,-0.0050,0.0813
180,0.0,0.0,0.0,0.0,0.0,0.0,-0.0580,-0.9629,0.1748,0.7881,-0.6103,-0.0060,0.0807
181,0.0,0.0,0.0,0.0,0.0,0.0,-0.0491,-0.9868,0.1812,0.7875,-0.6111,-0.0073,0.0803
182,0.0,0.0,0.0,0.0,0.0,0.0,-0.0462,-1.0024,0.1831,0.7869,-0.6118,-0.0087,0.0801
183,0.0,0.0,0.0,0.0,0.0,0.0,-0.0452,-1.0166,0.1827,0.7864,-0.6125,-0.0098,0.0796
184,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442,-1.0146,0.1788,0.7858,-0.6133,-0.0106,0.0791
185,0.0,0.0,0.0,0.0,0.0,0.0,-0.0476,-1.0122,0.1783,0.7857,-0.6135,-0.0110,0.0785
186,0.0,0.0,0.0,0.0,0.0,0.0,-0.0530,-1.0058,0.1783,0.7859,-0.6133,-0.0108,0.0780
187,0.0,0.0,0.0,0.0,0.0,0.0,-0.0560,-0.9990,0.1787,0.7859,-0.6133,-0.0105,0.0775
188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0564,-0.9975,0.1787,0.7859,-0.6134,-0.0103,0.0770
189,0.0,0.0,0.0,0.0,0.0,0.0,-0.0584,-0.9941,0.1768,0.7862,-0.6131,-0.0099,0.0765
190,0.0,0.0,0.0,0.0,0.0,0.0,-0.0525,-0.9888,0.1763,0.7865,-0.6128,-0.0099,0.0762
191,0.0,0.0,0.0,0.0,0.0,0.0,-0.0477,-0.9858,0.1748,0.7865,-0.6128,-0.0102,0.0757
192,0.0,0.0,0.0,0.0,0.0,0.0,-0.0432,-0.9893,0.1753,0.7865,-0.6128,-0.0106,0.0755
193,0.0,0.0,0.0,0.0,0.0,0.0,-0.0393,-0.9932,0.1758,0.7865,-0.6129,-0.0111,0.0753
194,0.0,0.0,0.0,0.0,0.0,0.0,-0.0364,-0.9946,0.1763,0.7864,-0.6130,-0.0115,0.0751
195,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344,-0.9922,0.1734,0.7864,-0.6131,-0.0120,0.0749
196,0.0,0.0,0.0,0.0,0.0,0.0,-0.0359,-0.9888,0.1705,0.7864,-0.6131,-0.0121,0.0747
197,0.0,0.0,0.0,0.0,0.0,0.0,-0.0379,-0.9883,0.1695,0.7864,-0.6131,-0.0122,0.0744
198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457,-0.9897,0.1675,0.7863,-0.6133,-0.0123,0.0741
199,0.0,0.0,0.0,0.0,0.0,0.0,-0.0491,-0.9907,0.1651,0.7861,-0.6136,-0.0124,0.0738
200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0501,-0.9946,0.1651,0.7859,-0.6138,-0.0125,0.0738
201,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511,-1.0000,0.1670,0.7860,-0.6137,-0.0127,0.0739
202,0.0,0.0,0.0,0.0,0.0,0.0,-0.0447,-0.9892,0.1597,0.7860,-0.6137,-0.0131,0.0739
203,0.0,0.0,0.0,0.0,0.0,0.0,-0.0316,-0.9580,0.1343,0.7854,-0.6143,-0.0144,0.0738
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0968,-0.9991,0.1389,0.7847,-0.6152,-0.0197,0.0740
205,0.0,0.0,0.0,0.0,0.0,0.0,-0.0305,-1.0068,0.1416,0.7839,-0.6160,-0.0213,0.0743
206,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344,-1.0312,0.1543,0.7835,-0.6164,-0.0224,0.0750
207,0.0,0.0,0.0,0.0,0.0,0.0,-0.0310,-1.0263,0.1597,0.7834,-0.6165,-0.0231,0.0759
208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0300,-1.0185,0.1646,0.7834,-0.6162,-0.0234,0.0770
209,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241,-1.0107,0.1700,0.7838,-0.6157,-0.0237,0.0779
210,0.0,0.0,0.0,0.0,0.0,0.0,-0.0153,-1.0005,0.1764,0.7845,-0.6147,-0.0239,0.0785
211,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114,-0.9868,0.1773,0.7854,-0.6134,-0.0241,0.0789
212,0.0,0.0,0.0,0.0,0.0,0.0,-0.0168,-0.9659,0.1724,0.7859,-0.6128,-0.0242,0.0790
213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159,-0.9649,0.1720,0.7858,-0.6129,-0.0245,0.0789
214,0.0,0.0,0.0,0.0,0.0,0.0,-0.0168,-0.9756,0.1724,0.7856,-0.6133,-0.0249,0.0786
215,0.0,0.0,0.0,0.0,0.0,0.0,-0.0242,-0.9858,0.1705,0.7853,-0.6137,-0.0251,0.0782
216,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241,-0.9941,0.1695,0.7850,-0.6142,-0.0252,0.0776
217,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295,-0.9971,0.1656,0.7847,-0.6146,-0.0250,0.0769
218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0359,-0.9951,0.1636,0.7846,-0.6149,-0.0244,0.0761
219,0.0,0.0,0.0,0.0,0.0,0.0,-0.0354,-0.9907,0.1636,0.7840,-0.6156,-0.0240,0.0754
220,0.0,0.0,0.0,0.0,0.0,0.0,-0.0354,-0.9892,0.1661,0.7835,-0.6164,-0.0235,0.0750
221,0.0,0.0,0.0,0.0,0.0,0.0,-0.0374,-0.9975,0.1709,0.7831,-0.6169,-0.0230,0.0746
222,0.0,0.0,0.0,0.0,0.0,0.0,-0.0374,-1.0044,0.1709,0.7827,-0.6176,-0.0224,0.0743
223,0.0,0.0,0.0,0.0,0.0,0.0,-0.0364,-0.9990,0.1646,0.7823,-0.6181,-0.0219,0.0739
224,0.0,0.0,0.0,0.0,0.0,0.0,-0.0379,-0.9946,0.1592,0.7821,-0.6185,-0.0213,0.0735
225,0.0,0.0,0.0,0.0,0.0,0.0,-0.0408,-0.9931,0.1553,0.7820,-0.6187,-0.0205,0.0729
226,0.0,0.0,0.0,0.0,0.0,0.0,-0.0428,-0.9946,0.1529,0.7818,-0.6190,-0.0199,0.0724
227,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442,-1.0034,0.1524,0.7813,-0.6196,-0.0195,0.0720
228,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457,-1.0058,0.1514,0.7810,-0.6201,-0.0190,0.0715
229,0.0,0.0,0.0,0.0,0.0,0.0,-0.0437,-1.0043,0.1494,0.7809,-0.6202,-0.0184,0.0712
230,0.0,0.0,0.0,0.0,0.0,0.0,-0.0413,-1.0029,0.1470,0.7808,-0.6204,-0.0180,0.0710
231,0.0,0.0,0.0,0.0,0.0,0.0,-0.0413,-1.0082,0.1460,0.7805,-0.6209,-0.0175,0.0708
232,0.0,0.0,0.0,0.0,0.0,0.0,-0.0427,-1.0253,0.1524,0.7805,-0.6209,-0.0169,0.0707
233,0.0,0.0,0.0,0.0,0.0,0.0,-0.0427,-1.0365,0.1573,0.7808,-0.6206,-0.0159,0.0705
234,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457,-1.0292,0.1563,0.7815,-0.6198,-0.0146,0.0703
235,0.0,0.0,0.0,0.0,0.0,0.0,-0.0467,-0.9887,0.1401,0.7823,-0.6189,-0.0129,0.0697
236,0.0,0.0,0.0,0.0,0.0,0.0,-0.0331,-0.9511,0.1191,0.7821,-0.6191,-0.0124,0.0692
237,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360,-0.9785,0.1338,0.7819,-0.6195,-0.0124,0.0686
238,0.0,0.0,0.0,0.0,0.0,0.0,-0.0506,-0.9985,0.1489,0.7819,-0.6196,-0.0120,0.0679
239,0.0,0.0,0.0,0.0,0.0,0.0,-0.0472,-0.9990,0.1548,0.7821,-0.6194,-0.0114,0.0673
240,0.0,0.0,0.0,0.0,0.0,0.0,-0.0526,-0.9902,0.1533,0.7822,-0.6193,-0.0106,0.0669
241,0.0,0.0,0.0,0.0,0.0,0.0,-0.0526,-0.9931,0.1563,0.7825,-0.6191,-0.0100,0.0666
242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0482,-0.9917,0.1602,0.7828,-0.6186,-0.0096,0.0663
243,0.0,0.0,0.0,0.0,0.0,0.0,-0.0472,-0.9887,0.1621,0.7832,-0.6182,-0.0093,0.0661
244,0.0,0.0,0.0,0.0,0.0,0.0,-0.0433,-0.9853,0.1612,0.7833,-0.6181,-0.0092,0.0660
245,0.0,0.0,0.0,0.0,0.0,0.0,-0.0418,-0.9892,0.1646,0.7835,-0.6178,-0.0092,0.0661
246,0.0,0.0,0.0,0.0,0.0,0.0,-0.0438,-0.9829,0.1631,0.7836,-0.6176,-0.0092,0.0661
247,0.0,0.0,0.0,0.0,0.0,0.0,-0.0418,-0.9795,0.1607,0.7835,-0.6177,-0.0093,0.0663
248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0452,-0.9839,0.1597,0.7833,-0.6180,-0.0095,0.0665
249,0.0,0.0,0.0,0.0,0.0,0.0,-0.0433,-0.9863,0.1577,0.7829,-0.6185,-0.0098,0.0669
250,0.0,0.0,0.0,0.0,0.0,0.0,-0.0369,-0.9873,0.1553,0.7823,-0.6192,-0.0105,0.0671
251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0330,-0.9912,0.1543,0.7817,-0.6200,-0.0114,0.0674
252,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335,-0.9892,0.1509,0.7811,-0.6206,-0.0121,0.0674
253,0.0,0.0,0.0,0.0,0.0,0.0,-0.0305,-0.9951,0.1519,0.7807,-0.6211,-0.0128,0.0674
254,0.0,0.0,0.0,0.0,0.0,0.0,-0.0271,-1.0029,0.1553,0.7804,-0.6216,-0.0137,0.0671
255,0.0,0.0,0.0,0.0,0.0,0.0,-0.0247,-0.9995,0.1524,0.7798,-0.6223,-0.0147,0.0667
256,0.0,0.0,0.0,0.0,0.0,0.0,-0.0247,-0.9931,0.1480,0.7792,-0.6231,-0.0156,0.0661
257,0.0,0.0,0.0,0.0,0.0,0.0,-0.0242,-0.9917,0.1475,0.7787,-0.6237,-0.0165,0.0653
258,0.0,0.0,0.0,0.0,0.0,0.0,-0.0271,-1.0014,0.1504,0.7782,-0.6245,-0.0173,0.0643
259,0.0,0.0,0.0,0.0,0.0,0.0,-0.0295,-1.0170,0.1524,0.7778,-0.6250,-0.0178,0.0635
260,0.0,0.0,0.0,0.0,0.0,0.0,-0.0305,-1.0219,0.1534,0.7778,-0.6252,-0.0180,0.0626
261,0.0,0.0,0.0,0.0,0.0,0.0,-0.0291,-1.0112,0.1509,0.7779,-0.6251,-0.0181,0.0619
262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.9995,0.1475,0.7780,-0.6249,-0.0181,0.0614
263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0237,-0.9907,0.1426,0.7781,-0.6249,-0.0183,0.0610
264,0.0,0.0,0.0,0.0,0.0,0.0,-0.0213,-0.9873,0.1416,0.7782,-0.6248,-0.0186,0.0607
265,0.0,0.0,0.0,0.0,0.0,0.0,-0.0173,-0.9814,0.1402,0.7780,-0.6251,-0.0193,0.0603
266,0.0,0.0,0.0,0.0,0.0,0.0,-0.0198,-0.9814,0.1402,0.7775,-0.6257,-0.0200,0.0600
267,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164,-0.9878,0.1407,0.7771,-0.6262,-0.0208,0.0599
268,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149,-0.9926,0.1417,0.7769,-0.6265,-0.0216,0.0596
269,0.0,0.0,0.0,0.0,0.0,0.0,-0.0163,-0.9975,0.1431,0.7765,-0.6269,-0.0223,0.0595
270,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149,-1.0136,0.1456,0.7760,-0.6274,-0.0232,0.0596
271,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104,-1.0224,0.1441,0.7758,-0.6277,-0.0240,0.0595
272,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,-1.0161,0.1397,0.7759,-0.6276,-0.0246,0.0596
273,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,-1.0039,0.1324,0.7756,-0.6278,-0.0252,0.0597
274,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,-1.0004,0.1299,0.7751,-0.6285,-0.0248,0.0602
275,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,-0.9970,0.1270,0.7740,-0.6298,-0.0244,0.0608
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,-1.0209,0.1309,0.7733,-0.6306,-0.0246,0.0613
